z1,z2,rho,cdf
-3.5,-3.5,-0.999999,0.0
-3.5,-3.5,-0.989999,0.0
-3.5,-3.5,-0.979999,2.652794827634974e-271
-3.5,-3.5,-0.969999,2.2353780890111016e-182
-3.5,-3.5,-0.9599989999999999,7.39398982023007e-138
-3.5,-3.5,-0.9499989999999999,4.112620744424871e-111
-3.5,-3.5,-0.9399989999999999,2.9276441122817843e-93
-3.5,-3.5,-0.9299989999999999,1.7143168807516135e-80
-3.5,-3.5,-0.9199989999999999,-7.914464100907369e-21
-3.5,-3.5,-0.9099989999999999,-7.656383749790824e-21
-3.5,-3.5,-0.8999989999999999,-7.563739521184885e-21
-3.5,-3.5,-0.8899989999999999,-7.504182517081067e-21
-3.5,-3.5,-0.8799989999999999,-7.517417406881916e-21
-3.5,-3.5,-0.8699989999999999,-7.563739521184885e-21
-3.5,-3.5,-0.8599989999999998,-7.583591855886158e-21
-3.5,-3.5,-0.8499989999999998,-7.57035696608531e-21
-3.5,-3.5,-0.8399989999999998,-7.530652296682764e-21
-3.5,-3.5,-0.8299989999999998,-7.530652296682764e-21
-3.5,-3.5,-0.8199989999999998,-7.557122076284461e-21
-3.5,-3.5,-0.8099989999999998,-7.52403485178234e-21
-3.5,-3.5,-0.7999989999999998,-7.57035696608531e-21
-3.5,-3.5,-0.7899989999999998,-7.530652296682764e-21
-3.5,-3.5,-0.7799989999999998,-7.590209300786582e-21
-3.5,-3.5,-0.7699989999999998,-7.530652296682764e-21
-3.5,-3.5,-0.7599989999999998,-7.550504631384037e-21
-3.5,-3.5,-0.7499989999999997,3.491363929463819e-19
-3.5,-3.5,-0.7399989999999997,1.5864000659786986e-19
-3.5,-3.5,-0.7299989999999997,5.1503573660001715e-20
-3.5,-3.5,-0.7199989999999997,-2.1308172579365993e-21
-3.5,-3.5,-0.7099989999999997,-2.4080881992643742e-20
-3.5,-3.5,-0.6999989999999997,-2.7674154573574094e-20
-3.5,-3.5,-0.6899989999999997,-1.7271531190107218e-20
-3.5,-3.5,-0.6799989999999997,1.7152417181899582e-20
-3.5,-3.5,-0.6699989999999997,1.1885592785651944e-19
-3.5,-3.5,-0.6599989999999997,4.162240493468827e-19
-3.5,-3.5,-0.6499989999999997,1.2518154343683495e-18
-3.5,-3.5,-0.6399989999999997,3.482317882284939e-18
-3.5,-3.5,-0.6299989999999996,9.136077516750182e-18
-3.5,-3.5,-0.6199989999999996,2.2780779062836997e-17
-3.5,-3.5,-0.6099989999999996,5.424365906992037e-17
-3.5,-3.5,-0.5999989999999996,1.237940042075589e-16
-3.5,-3.5,-0.5899989999999996,2.7163913175804434e-16
-3.5,-3.5,-0.5799989999999996,5.747100150623605e-16
-3.5,-3.5,-0.5699989999999996,1.1753568605664723e-15
-3.5,-3.5,-0.5599989999999996,2.3289175781666214e-15
-3.5,-3.5,-0.5499989999999996,4.480343008743575e-15
-3.5,-3.5,-0.5399989999999996,8.384390144989293e-15
-3.5,-3.5,-0.5299989999999996,1.5289543464207046e-14
-3.5,-3.5,-0.5199989999999995,2.7213038267713656e-14
-3.5,-3.5,-0.5099989999999995,4.734335586797604e-14
-3.5,-3.5,-0.4999989999999995,8.061754657458441e-14
-3.5,-3.5,-0.4899989999999995,1.3453389118932495e-13
-3.5,-3.5,-0.4799989999999995,2.202758609398283e-13
-3.5,-3.5,-0.4699989999999995,3.5424115857870767e-13
-3.5,-3.5,-0.4599989999999995,5.600898368171525e-13
-3.5,-3.5,-0.4499989999999995,8.714480375312281e-13
-3.5,-3.5,-0.4399989999999995,1.3354286485788146e-12
-3.5,-3.5,-0.42999899999999946,2.0171569426892987e-12
-3.5,-3.5,-0.41999899999999946,3.005517770840761e-12
-3.5,-3.5,-0.40999899999999945,4.4203708033165194e-12
-3.5,-3.5,-0.39999899999999944,6.421511260774183e-12
-3.5,-3.5,-0.38999899999999943,9.219685121226874e-12
-3.5,-3.5,-0.3799989999999994,1.3089999466253855e-11
-3.5,-3.5,-0.3699989999999994,1.8388099955504497e-11
-3.5,-3.5,-0.3599989999999994,2.5569517900800354e-11
-3.5,-3.5,-0.3499989999999994,3.521261857016332e-11
-3.5,-3.5,-0.3399989999999994,4.804560971196345e-11
-3.5,-3.5,-0.3299989999999994,6.497809442402402e-11
-3.5,-3.5,-0.31999899999999937,8.713767499663819e-11
-3.5,-3.5,-0.30999899999999936,1.1591213389004559e-10
-3.5,-3.5,-0.29999899999999935,1.5299773273173772e-10
-3.5,-3.5,-0.28999899999999934,2.0045419459398195e-10
-3.5,-3.5,-0.27999899999999933,2.6076690607708913e-10
-3.5,-3.5,-0.2699989999999993,3.3691694995776495e-10
-3.5,-3.5,-0.2599989999999993,4.3245950474010827e-10
-3.5,-3.5,-0.2499989999999993,5.51611195849081e-10
-3.5,-3.5,-0.2399989999999993,6.993469581968263e-10
-3.5,-3.5,-0.2299989999999993,8.815069634230122e-10
-3.5,-3.5,-0.21999899999999928,1.10491415219729e-09
-3.5,-3.5,-0.20999899999999927,1.3775028959379505e-09
-3.5,-3.5,-0.19999899999999926,1.7084592934145706e-09
-3.5,-3.5,-0.18999899999999925,2.108373586290568e-09
-3.5,-3.5,-0.17999899999999924,2.589405154060534e-09
-3.5,-3.5,-0.16999899999999923,3.165460523413253e-09
-3.5,-3.5,-0.15999899999999923,3.852384800192816e-09
-3.5,-3.5,-0.14999899999999922,4.668166904216114e-09
-3.5,-3.5,-0.1399989999999992,5.633158958649257e-09
-3.5,-3.5,-0.1299989999999992,6.770310156832233e-09
-3.5,-3.5,-0.11999899999999919,8.105415400771232e-09
-3.5,-3.5,-0.10999899999999918,9.667378977379722e-09
-3.5,-3.5,-0.09999899999999917,1.1488493511312052e-08
-3.5,-3.5,-0.08999899999999916,1.3604734407267956e-08
-3.5,-3.5,-0.07999899999999915,1.6056069970295942e-08
-3.5,-3.5,-0.06999899999999915,1.888678737022008e-08
-3.5,-3.5,-0.059998999999999136,2.214583459617619e-08
-3.5,-3.5,-0.04999899999999913,2.5887178529660233e-08
-3.5,-3.5,-0.03999899999999912,3.0170179249750125e-08
-3.5,-3.5,-0.02999899999999911,3.505998067251688e-08
-3.5,-3.5,-0.0199989999999991,4.0627917618345514e-08
-3.5,-3.5,-0.009998999999999092,4.6951939396164436e-08
-3.5,-3.0,-0.999999,0.0
-3.5,-3.0,-0.989999,0.0
-3.5,-3.0,-0.979999,1.3061293372338709e-234
-3.5,-3.0,-0.969999,6.729985741026848e-158
-3.5,-3.0,-0.9599989999999999,1.7399223658034397e-119
-3.5,-3.0,-0.9499989999999999,2.0963133895178654e-96
-3.5,-3.0,-0.9399989999999999,5.381429679324603e-81
-3.5,-3.0,-0.9299989999999999,5.668006849760476e-70
-3.5,-3.0,-0.9199989999999999,-1.487601613615365e-20
-3.5,-3.0,-0.9099989999999999,-1.6517142471458857e-20
-3.5,-3.0,-0.8999989999999999,-1.6887719385882613e-20
-3.5,-3.0,-0.8899989999999999,-1.6781840267475825e-20
-3.5,-3.0,-0.8799989999999999,-1.6940658945086007e-20
-3.5,-3.0,-0.8699989999999999,-1.6940658945086007e-20
-3.5,-3.0,-0.8599989999999998,-1.6940658945086007e-20
-3.5,-3.0,-0.8499989999999998,-1.6887719385882613e-20
-3.5,-3.0,-0.8399989999999998,-1.683477982667922e-20
-3.5,-3.0,-0.8299989999999998,-1.6887719385882613e-20
-3.5,-3.0,-0.8199989999999998,-1.6675961149069038e-20
-3.5,-3.0,-0.8099989999999998,-1.6728900708272432e-20
-3.5,-3.0,-0.7999989999999998,-1.6728900708272432e-20
-3.5,-3.0,-0.7899989999999998,-1.6887719385882613e-20
-3.5,-3.0,-0.7799989999999998,-1.6887719385882613e-20
-3.5,-3.0,-0.7699989999999998,-1.683477982667922e-20
-3.5,-3.0,-0.7599989999999998,-1.657008203066225e-20
-3.5,-3.0,-0.7499989999999997,-1.6211681214855275e-18
-3.5,-3.0,-0.7399989999999997,-9.829817352886155e-19
-3.5,-3.0,-0.7299989999999997,-5.417834488875319e-19
-3.5,-3.0,-0.7199989999999997,-2.250460661736269e-19
-3.5,-3.0,-0.7099989999999997,1.155670577410086e-19
-3.5,-3.0,-0.6999989999999997,8.41474293537944e-19
-3.5,-3.0,-0.6899989999999997,2.9215225141984887e-18
-3.5,-3.0,-0.6799989999999997,8.950438334958582e-18
-3.5,-3.0,-0.6699989999999997,2.553047300275107e-17
-3.5,-3.0,-0.6599989999999997,6.853804150399614e-17
-3.5,-3.0,-0.6499989999999997,1.7413430384595995e-16
-3.5,-3.0,-0.6399989999999997,4.2062602663420407e-16
-3.5,-3.0,-0.6299989999999996,9.699059288631733e-16
-3.5,-3.0,-0.6199989999999996,2.1427220942520217e-15
-3.5,-3.0,-0.6099989999999996,4.550133037735507e-15
-3.5,-3.0,-0.5999989999999996,9.315001103698596e-15
-3.5,-3.0,-0.5899989999999996,1.8433006113727923e-14
-3.5,-3.0,-0.5799989999999996,3.5343397871691014e-14
-3.5,-3.0,-0.5699989999999996,6.580622017102736e-14
-3.5,-3.0,-0.5599989999999996,1.1921583983204388e-13
-3.5,-3.0,-0.5499989999999996,2.105207688467838e-13
-3.5,-3.0,-0.5399989999999996,3.629673125683402e-13
-3.5,-3.0,-0.5299989999999996,6.11939539102427e-13
-3.5,-3.0,-0.5199989999999995,1.0102301760792182e-12
-3.5,-3.0,-0.5099989999999995,1.6351457047034842e-12
-3.5,-3.0,-0.4999989999999995,2.5979232577571747e-12
-3.5,-3.0,-0.4899989999999995,4.056015655600002e-12
-3.5,-3.0,-0.4799989999999995,6.228882692756475e-12
-3.5,-3.0,-0.4699989999999995,9.418009810141557e-12
-3.5,-3.0,-0.4599989999999995,1.4031957822602802e-11
-3.5,-3.0,-0.4499989999999995,2.0617327489603387e-11
-3.5,-3.0,-0.4399989999999995,2.989659848507932e-11
-3.5,-3.0,-0.42999899999999946,4.281387191721922e-11
-3.5,-3.0,-0.41999899999999946,6.058960719168482e-11
-3.5,-3.0,-0.40999899999999945,8.478549615847386e-11
-3.5,-3.0,-0.39999899999999944,1.1738065878104174e-10
-3.5,-3.0,-0.38999899999999943,1.6086037389068495e-10
-3.5,-3.0,-0.3799989999999994,2.1831857516392992e-10
-3.5,-3.0,-0.3699989999999994,2.935753457102069e-10
-3.5,-3.0,-0.3599989999999994,3.9131063439322e-10
-3.5,-3.0,-0.3499989999999994,5.172153932139391e-10
-3.5,-3.0,-0.3399989999999994,6.781612981643089e-10
-3.5,-3.0,-0.3299989999999994,8.823901664064313e-10
-3.5,-3.0,-0.31999899999999937,1.1397241212968918e-09
-3.5,-3.0,-0.30999899999999936,1.4617974845887882e-09
-3.5,-3.0,-0.29999899999999935,1.8623113058067504e-09
-3.5,-3.0,-0.28999899999999934,2.3573112567300903e-09
-3.5,-3.0,-0.27999899999999933,2.9654898117409232e-09
-3.5,-3.0,-0.2699989999999993,3.708513020871981e-09
-3.5,-3.0,-0.2599989999999993,4.611372617148669e-09
-3.5,-3.0,-0.2499989999999993,5.7027637438123695e-09
-3.5,-3.0,-0.2399989999999993,7.015488599199746e-09
-3.5,-3.0,-0.2299989999999993,8.586886166944403e-09
-3.5,-3.0,-0.21999899999999928,1.0459288089311962e-08
-3.5,-3.0,-0.20999899999999927,1.268050063419283e-08
-3.5,-3.0,-0.19999899999999926,1.530431260261244e-08
-3.5,-3.0,-0.18999899999999925,1.839102892463966e-08
-3.5,-3.0,-0.17999899999999924,2.20080295981344e-08
-3.5,-3.0,-0.16999899999999923,2.6230353537709115e-08
-3.5,-3.0,-0.15999899999999923,3.1141306821172845e-08
-3.5,-3.0,-0.14999899999999922,3.683309474825365e-08
-3.5,-3.0,-0.1399989999999992,4.340747706185728e-08
-3.5,-3.0,-0.1299989999999992,5.097644562598537e-08
-3.5,-3.0,-0.11999899999999919,5.966292380685178e-08
-3.5,-3.0,-0.10999899999999918,6.96014867648739e-08
-3.5,-3.0,-0.09999899999999917,8.093910183516861e-08
-3.5,-3.0,-0.08999899999999916,9.383588815285822e-08
-3.5,-3.0,-0.07999899999999915,1.0846589466687079e-07
-3.5,-3.0,-0.06999899999999915,1.2501789568182616e-07
-3.5,-3.0,-0.059998999999999136,1.4369620307180916e-07
-3.5,-3.0,-0.04999899999999913,1.6472149432216065e-07
-3.5,-3.0,-0.03999899999999912,1.8833165557552094e-07
-3.5,-3.0,-0.02999899999999911,2.1478263888596915e-07
-3.5,-3.0,-0.0199989999999991,2.443493329198989e-07
-3.5,-3.0,-0.009998999999999092,2.7732644638385816e-07
-3.5,-2.5,-0.999999,0.0
-3.5,-2.5,-0.989999,0.0
-3.5,-2.5,-0.979999,1.1796513746268708e-200
-3.5,-2.5,-0.969999,2.983265221902318e-135
-3.5,-2.5,-0.9599989999999999,1.7075546481268737e-102
-3.5,-2.5,-0.9499989999999999,8.321934744035017e-83
-3.5,-2.5,-0.9399989999999999,1.1680952753613617e-69
-3.5,-2.5,-0.9299989999999999,2.9788670569983394e-60
-3.5,-2.5,-0.9199989999999999,-1.1371417316888982e-19
-3.5,-2.5,-0.9099989999999999,-1.0482032722271967e-19
-3.5,-2.5,-0.8999989999999999,-1.0503208545953324e-19
-3.5,-2.5,-0.8899989999999999,-1.0503208545953324e-19
-3.5,-2.5,-0.8799989999999999,-1.0587911840678754e-19
-3.5,-2.5,-0.8699989999999999,-1.0587911840678754e-19
-3.5,-2.5,-0.8599989999999998,-1.0609087664360112e-19
-3.5,-2.5,-0.8499989999999998,-1.0439681074909252e-19
-3.5,-2.5,-0.8399989999999998,-1.0482032722271967e-19
-3.5,-2.5,-0.8299989999999998,-1.0566736016997397e-19
-3.5,-2.5,-0.8199989999999998,-1.0418505251227894e-19
-3.5,-2.5,-0.8099989999999998,-1.0545560193316039e-19
-3.5,-2.5,-0.7999989999999998,-1.0503208545953324e-19
-3.5,-2.5,-0.7899989999999998,-1.0672615135404184e-19
-3.5,-2.5,-0.7799989999999998,-1.0312626132821107e-19
-3.5,-2.5,-0.7699989999999998,-9.317362419797304e-20
-3.5,-2.5,-0.7599989999999998,-3.748120791600279e-20
-3.5,-2.5,-0.7499989999999997,3.9287505676022585e-18
-3.5,-2.5,-0.7399989999999997,3.84531782229771e-18
-3.5,-2.5,-0.7299989999999997,6.765040391483283e-18
-3.5,-2.5,-0.7199989999999997,1.8997678457493075e-17
-3.5,-2.5,-0.7099989999999997,5.831588907785363e-17
-3.5,-2.5,-0.6999989999999997,1.715737232464102e-16
-3.5,-2.5,-0.6899989999999997,4.740966225559671e-16
-3.5,-2.5,-0.6799989999999997,1.2323207063894958e-15
-3.5,-2.5,-0.6699989999999997,3.0277237168834696e-15
-3.5,-2.5,-0.6599989999999997,7.065470907654885e-15
-3.5,-2.5,-0.6499989999999997,1.572883410667946e-14
-3.5,-2.5,-0.6399989999999997,3.3533108363028165e-14
-3.5,-2.5,-0.6299989999999996,6.870411205418423e-14
-3.5,-2.5,-0.6199989999999996,1.3569828269884595e-13
-3.5,-2.5,-0.6099989999999996,2.5909654882534335e-13
-3.5,-2.5,-0.5999989999999996,4.794427086955288e-13
-3.5,-2.5,-0.5899989999999996,8.617587772491257e-13
-3.5,-2.5,-0.5799989999999996,1.5076525462025497e-12
-3.5,-2.5,-0.5699989999999996,2.5721329153638434e-12
-3.5,-2.5,-0.5599989999999996,4.286461557235892e-12
-3.5,-2.5,-0.5499989999999996,6.988589096317918e-12
-3.5,-2.5,-0.5399989999999996,1.1162943192195095e-11
-3.5,-2.5,-0.5299989999999996,1.749154728728412e-11
-3.5,-2.5,-0.5199989999999995,2.691864470475257e-11
-3.5,-2.5,-0.5099989999999995,4.073117559400345e-11
-3.5,-2.5,-0.4999989999999995,6.065759743575306e-11
-3.5,-2.5,-0.4899989999999995,8.898764696649232e-11
-3.5,-2.5,-0.4799989999999995,1.2871570823462045e-10
-3.5,-2.5,-0.4699989999999995,1.8371047359878264e-10
-3.5,-2.5,-0.4599989999999995,2.5891356065635337e-10
-3.5,-2.5,-0.4499989999999995,3.6056967656209794e-10
-3.5,-2.5,-0.4399989999999995,4.964908032580833e-10
-3.5,-2.5,-0.42999899999999946,6.763567141648643e-10
-3.5,-2.5,-0.41999899999999946,9.12053928113332e-10
-3.5,-2.5,-0.40999899999999945,1.218054963565135e-09
-3.5,-2.5,-0.39999899999999944,1.6118394800544139e-09
-3.5,-2.5,-0.38999899999999943,2.1143585899920544e-09
-3.5,-2.5,-0.3799989999999994,2.7505432976150374e-09
-3.5,-2.5,-0.3699989999999994,3.5498576793648527e-09
-3.5,-2.5,-0.3599989999999994,4.546897066876948e-09
-3.5,-2.5,-0.3499989999999994,5.782031136105646e-09
-3.5,-2.5,-0.3399989999999994,7.302091449180706e-09
-3.5,-2.5,-0.3299989999999994,9.161102644762311e-09
-3.5,-2.5,-0.31999899999999937,1.1421056132605494e-08
-3.5,-2.5,-0.30999899999999936,1.4152724822732881e-08
-3.5,-2.5,-0.29999899999999935,1.7436517126206686e-08
-3.5,-2.5,-0.28999899999999934,2.1363368081479715e-08
-3.5,-2.5,-0.27999899999999933,2.603566551353568e-08
-3.5,-2.5,-0.2699989999999993,3.1568208334815946e-08
-3.5,-2.5,-0.2599989999999993,3.8089194498699416e-08
-3.5,-2.5,-0.2499989999999993,4.5741235537784836e-08
-3.5,-2.5,-0.2399989999999993,5.4682394614432366e-08
-3.5,-2.5,-0.2299989999999993,6.508724486467423e-08
-3.5,-2.5,-0.21999899999999928,7.71479447214217e-08
-3.5,-2.5,-0.20999899999999927,9.10753268345942e-08
-3.5,-2.5,-0.19999899999999926,1.0709999716327925e-07
-3.5,-2.5,-0.18999899999999925,1.2547344079674154e-07
-3.5,-2.5,-0.17999899999999924,1.4646913106559183e-07
-3.5,-2.5,-0.16999899999999923,1.703836385298056e-07
-3.5,-2.5,-0.15999899999999923,1.9753773647471676e-07
-3.5,-2.5,-0.14999899999999922,2.2827749960751322e-07
-3.5,-2.5,-0.1399989999999992,2.629753927233235e-07
-3.5,-2.5,-0.1299989999999992,3.0203134619925627e-07
-3.5,-2.5,-0.11999899999999919,3.458738152752471e-07
-3.5,-2.5,-0.10999899999999918,3.9496082018961044e-07
-3.5,-2.5,-0.09999899999999917,4.4978096435338945e-07
-3.5,-2.5,-0.08999899999999916,5.108544278685671e-07
-3.5,-2.5,-0.07999899999999915,5.787339338194367e-07
-3.5,-2.5,-0.06999899999999915,6.540056848917551e-07
-3.5,-2.5,-0.059998999999999136,7.372902679995482e-07
-3.5,-2.5,-0.04999899999999913,8.292435247222937e-07
-3.5,-2.5,-0.03999899999999912,9.305573854748221e-07
-3.5,-2.5,-0.02999899999999911,1.041960665446614e-06
-3.5,-2.5,-0.0199989999999991,1.1642198204552788e-06
-3.5,-2.5,-0.009998999999999092,1.2981396609591752e-06
-3.5,-2.0,-0.999999,0.0
-3.5,-2.0,-0.989999,0.0
-3.5,-2.0,-0.979999,1.9583374280230454e-169
-3.5,-2.0,-0.969999,1.9510102969993172e-114
-3.5,-2.0,-0.9599989999999999,7.003064043882605e-87
-3.5,-2.0,-0.9499989999999999,2.578112015470689e-70
-3.5,-2.0,-0.9399989999999999,3.0001532734046706e-59
-3.5,-2.0,-0.9299989999999999,2.4936694509145992e-51
-3.5,-2.0,-0.9199989999999999,-3.4982460721602604e-19
-3.5,-2.0,-0.9099989999999999,-3.6083603553033194e-19
-3.5,-2.0,-0.8999989999999999,-3.7100043089738355e-19
-3.5,-2.0,-0.8899989999999999,-3.5998900258307764e-19
-3.5,-2.0,-0.8799989999999999,-3.7015339795012925e-19
-3.5,-2.0,-0.8699989999999999,-3.6676526616111205e-19
-3.5,-2.0,-0.8599989999999998,-3.6337713437209485e-19
-3.5,-2.0,-0.8499989999999998,-3.6761229910836635e-19
-3.5,-2.0,-0.8399989999999998,-3.6168306847758624e-19
-3.5,-2.0,-0.8299989999999998,-3.6337713437209485e-19
-3.5,-2.0,-0.8199989999999998,-3.6337713437209485e-19
-3.5,-2.0,-0.8099989999999998,-3.6168306847758624e-19
-3.5,-2.0,-0.7999989999999998,-3.2695471764015993e-19
-3.5,-2.0,-0.7899989999999998,-1.2112571145736495e-19
-3.5,-2.0,-0.7799989999999998,9.749349222896997e-19
-3.5,-2.0,-0.7699989999999998,6.024098320872584e-18
-3.5,-2.0,-0.7599989999999998,2.6375758944551658e-17
-3.5,-2.0,-0.7499989999999997,9.469320130534725e-17
-3.5,-2.0,-0.7399989999999997,3.3522599437009817e-16
-3.5,-2.0,-0.7299989999999997,1.0519225938985903e-15
-3.5,-2.0,-0.7199989999999997,3.025819375059805e-15
-3.5,-2.0,-0.7099989999999997,8.09246214554223e-15
-3.5,-2.0,-0.6999989999999997,2.029473238632706e-14
-3.5,-2.0,-0.6899989999999997,4.8035147806266016e-14
-3.5,-2.0,-0.6799989999999997,1.0788787736999185e-13
-3.5,-2.0,-0.6699989999999997,2.310366126724258e-13
-3.5,-2.0,-0.6599989999999997,4.736900653760099e-13
-3.5,-2.0,-0.6499989999999997,9.332896529711497e-13
-3.5,-2.0,-0.6399989999999997,1.7728545318051081e-12
-3.5,-2.0,-0.6299989999999996,3.2563912393887974e-12
-3.5,-2.0,-0.6199989999999996,5.7989048938360244e-12
-3.5,-2.0,-0.6099989999999996,1.0035158635803855e-11
-3.5,-2.0,-0.5999989999999996,1.6911905749311695e-11
-3.5,-2.0,-0.5899989999999996,2.780883292484291e-11
-3.5,-2.0,-0.5799989999999996,4.469387258308348e-11
-3.5,-2.0,-0.5699989999999996,7.031884006389311e-11
-3.5,-2.0,-0.5599989999999996,1.0846150619906017e-10
-3.5,-2.0,-0.5499989999999996,1.6422021154375682e-10
-3.5,-2.0,-0.5399989999999996,2.4436695774249895e-10
-3.5,-2.0,-0.5299989999999996,3.5776457247116124e-10
-3.5,-2.0,-0.5199989999999995,5.15853043760315e-10
-3.5,-2.0,-0.5099989999999995,7.332094682037361e-10
-3.5,-2.0,-0.4999989999999995,1.028185274306257e-09
-3.5,-2.0,-0.4899989999999995,1.4236234865750414e-09
-3.5,-2.0,-0.4799989999999995,1.9476578133789636e-09
